tags,ids
"https://tproger.ru/tag/python/,https://tproger.ru/tag/for-amateurs/,https://tproger.ru/tag/job-interview/,https://tproger.ru/tag/advices/",50832
,11837
,9624
"https://tproger.ru/tag/java/,https://tproger.ru/tag/cheatsheets/",13451
"https://tproger.ru/tag/for-motivation/,https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/guest/",34989
"https://tproger.ru/tag/job-interview/,https://tproger.ru/tag/advices/",103054
https://tproger.ru/tag/job-interview/,103045
https://tproger.ru/tag/testing/,22463
https://tproger.ru/tag/brain-teasers/,9597
"https://tproger.ru/tag/javascript/,https://tproger.ru/tag/gamedev/",8778
"https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/learn-programming/",4309
,109952
https://tproger.ru/tag/cpp/,9866
"https://tproger.ru/tag/javascript/,https://tproger.ru/tag/web/,https://tproger.ru/tag/for-beginners/",45834
https://tproger.ru/tag/programming-languages/,110937
"https://tproger.ru/tag/algorithms/,https://tproger.ru/tag/algos-and-data-structs/,https://tproger.ru/tag/for-beginners/",8389
"https://tproger.ru/tag/python/,https://tproger.ru/tag/mobiledev/",6234
"https://tproger.ru/tag/java/,https://tproger.ru/tag/multithreading/",6277
"https://tproger.ru/tag/algorithms/,https://tproger.ru/tag/algos-and-data-structs/,https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/courses/",102850
,102712
"https://tproger.ru/tag/php/,https://tproger.ru/tag/parsing/,https://tproger.ru/tag/encodings/",9996
"https://tproger.ru/tag/diy/,https://tproger.ru/tag/javascript/,https://tproger.ru/tag/node-js/,https://tproger.ru/tag/web/",37778
"https://tproger.ru/tag/best-practice/,https://tproger.ru/tag/oop/,https://tproger.ru/tag/cheatsheets/",7330
"https://tproger.ru/tag/python/,https://tproger.ru/tag/courses/,https://tproger.ru/tag/learn-programming/,https://tproger.ru/tag/programming-languages/",85315
"https://tproger.ru/tag/python/,https://tproger.ru/tag/tools/",77598
"https://tproger.ru/tag/java/,https://tproger.ru/tag/programming-languages/",68900
"https://tproger.ru/tag/linux/,https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/command-line-tools/,https://tproger.ru/tag/cheatsheets/",26724
"https://tproger.ru/tag/google/,https://tproger.ru/tag/security/,https://tproger.ru/tag/games/",24855
"https://tproger.ru/tag/web/,https://tproger.ru/tag/for-amateurs/",41251
,51814
