subscribed,last_active,channel,device,player_id,tags,country,language_code
Yes,2018-07-13 16:15:41.537537,Web Push (Chrome),Win32 67,03f31cf1-5ab4-4870-b5ed-d7332ee783,"{""posts-read"": ""6082,28018,28507,33512"", ""read-tag-ide"": ""1"", ""view-tag-cpp"": ""1"", ""view-tag-ide"": ""8"", ""posts-visited"": ""28018,28507,9562,33512"", ""visit-tag-cpp"": ""1"", ""visit-tag-ide"": ""1"", ""read-tag-tools"": ""1"", ""view-tag-tools"": ""8"", ""read-tag-regexp"": ""1"", ""view-tag-regexp"": ""1"", ""visit-tag-tools"": ""1"", ""read-tag-testing"": ""1"", ""visit-tag-regexp"": ""1"", ""read-tag-partnered"": ""1"", ""view-tag-partnered"": ""1"", ""view-tag-algorithms"": ""1"", ""visit-tag-partnered"": ""1"", ""read-tag-cheatsheets"": ""1"", ""view-tag-cheatsheets"": ""8"", ""visit-tag-algorithms"": ""1"", ""read-tag-for-amateurs"": ""1"", ""view-tag-optimization"": ""1"", ""visit-tag-cheatsheets"": ""1"", ""read-tag-for-beginners"": ""3"", ""view-tag-brain-teasers"": ""1"", ""view-tag-for-beginners"": ""10"", ""view-tag-job-interview"": ""1"", ""visit-tag-optimization"": ""1"", ""visit-tag-brain-teasers"": ""1"", ""visit-tag-for-beginners"": ""3"", ""visit-tag-job-interview"": ""1"", ""view-tag-expert-problems"": ""1"", ""view-tag-middle-problems"": ""1"", ""view-tag-bit-manipulation"": ""1"", ""visit-tag-expert-problems"": ""1"", ""visit-tag-middle-problems"": ""1"", ""read-tag-learn-programming"": ""1"", ""view-tag-learn-programming"": ""1"", ""view-tag-stacks-and-queues"": ""1"", ""visit-tag-bit-manipulation"": ""1"", ""visit-tag-learn-programming"": ""1"", ""visit-tag-stacks-and-queues"": ""1"", ""view-tag-math-and-probability"": ""1"", ""view-tag-sorting-and-searching"": ""1"", ""visit-tag-math-and-probability"": ""1"", ""visit-tag-sorting-and-searching"": ""1"", ""view-tag-recursion-and-dynamic-programming"": ""1"", ""visit-tag-recursion-and-dynamic-programming"": ""1""}",RU,ru
Yes,2019-03-06 06:25:01.000000,Web Push (Chrome),Win32 72,01e9e7b6-519f-4ee7-8885-d5ddcb0e57,"{""view-tag-diy"": ""2"", ""posts-visited"": ""16515,14781"", ""view-tag-java"": ""2"", ""visit-tag-diy"": ""2"", ""visit-tag-java"": ""2"", ""view-tag-gamedev"": ""2"", ""visit-tag-gamedev"": ""2"", ""view-category-articles"": ""2"", ""visit-category-articles"": ""2"", ""view-tag-learn-programming"": ""2"", ""view-tag-simple-java-games"": ""2"", ""visit-tag-learn-programming"": ""2"", ""visit-tag-simple-java-games"": ""2""}",RU,ru
Yes,2019-03-06 18:55:04.000000,Web Push (Chrome),MacIntel 71,0341c2de-b94b-4c04-a4ec-d320111b49,{},US,en
Yes,2018-05-22 05:56:13.034724,Web Push (Chrome),Win32 52,038d3b18-0071-4f0f-9f51-365c246375,"{""posts-visited"": ""31063"", ""view-tag-python"": ""1"", ""visit-tag-python"": ""1"", ""view-tag-for-beginners"": ""1"", ""visit-tag-for-beginners"": ""1"", ""view-tag-learn-programming"": ""1"", ""visit-tag-learn-programming"": ""1""}",RU,ru
Yes,2018-03-05 20:48:18.525418,Web Push (Chrome),Win32 18,0268929b-277f-4cb3-9934-4e9c186afa,"{""posts-read"": ""13289,28507"", ""posts-visited"": ""28507"", ""read-tag-partnered"": ""1"", ""view-tag-partnered"": ""1"", ""visit-tag-partnered"": ""1"", ""read-tag-for-beginners"": ""1"", ""view-tag-for-beginners"": ""1"", ""visit-tag-for-beginners"": ""1"", ""read-tag-learn-programming"": ""1""}",KZ,ru
Yes,2017-04-21 20:12:23.200937,Web Push (Chrome),Linux x86_64 Chrome 58.0,0a5497fe-c43d-4e14-91e8-fa69018d64,"{""posts-read"": ""9851"", ""view-tag-cpp"": ""1"", ""posts-visited"": ""9562,9851"", ""visit-tag-cpp"": ""1"", ""view-tag-algorithms"": ""1"", ""visit-tag-algorithms"": ""1"", ""view-tag-optimization"": ""1"", ""read-tag-brain-teasers"": ""1"", ""view-tag-brain-teasers"": ""2"", ""view-tag-job-interview"": ""1"", ""visit-tag-optimization"": ""1"", ""visit-tag-brain-teasers"": ""2"", ""visit-tag-job-interview"": ""1"", ""view-tag-expert-problems"": ""1"", ""view-tag-middle-problems"": ""1"", ""view-tag-bit-manipulation"": ""1"", ""visit-tag-expert-problems"": ""1"", ""visit-tag-middle-problems"": ""1"", ""view-tag-stacks-and-queues"": ""1"", ""visit-tag-bit-manipulation"": ""1"", ""visit-tag-stacks-and-queues"": ""1"", ""view-tag-math-and-probability"": ""1"", ""view-tag-sorting-and-searching"": ""1"", ""visit-tag-math-and-probability"": ""1"", ""visit-tag-sorting-and-searching"": ""1"", ""view-tag-recursion-and-dynamic-programming"": ""1"", ""visit-tag-recursion-and-dynamic-programming"": ""1""}",RU,en
Yes,2018-03-25 07:52:41.819336,Web Push (Chrome),Win32 65,05c075db-8b39-41b7-9934-dd15269694,"{""posts-read"": ""28941,29318,56869,59612,35101,28507,17456,28308,11579,16816,65667,65888,52405,6766"", ""read-tag-css"": ""1"", ""read-tag-php"": ""2"", ""read-tag-sql"": ""1"", ""view-tag-css"": ""1"", ""view-tag-diy"": ""5"", ""view-tag-php"": ""6"", ""view-tag-sql"": ""1"", ""posts-visited"": ""38701,28941,29318,56869,59612,35101,17456,28308,28507,59471,11579,16816,65667,65888,52405,6766"", ""view-tag-bots"": ""5"", ""visit-tag-css"": ""1"", ""visit-tag-diy"": ""1"", ""visit-tag-php"": ""2"", ""visit-tag-sql"": ""1"", ""visit-tag-bots"": ""1"", ""read-tag-crypto"": ""1"", ""read-tag-gitlab"": ""1"", ""read-tag-jquery"": ""1"", ""view-tag-crypto"": ""5"", ""view-tag-gitlab"": ""1"", ""view-tag-jquery"": ""1"", ""view-tag-python"": ""5"", ""read-tag-advices"": ""1"", ""view-tag-advices"": ""1"", ""visit-tag-crypto"": ""1"", ""visit-tag-gitlab"": ""1"", ""visit-tag-jquery"": ""1"", ""visit-tag-python"": ""1"", ""read-tag-ethereum"": ""1"", ""read-tag-internet"": ""1"", ""read-tag-security"": ""3"", ""view-tag-ethereum"": ""5"", ""view-tag-internet"": ""2"", ""view-tag-security"": ""12"", ""visit-tag-advices"": ""1"", ""read-tag-partnered"": ""1"", ""view-tag-partnered"": ""1"", ""visit-tag-ethereum"": ""1"", ""visit-tag-internet"": ""1"", ""visit-tag-security"": ""3"", ""read-tag-blockchain"": ""1"", ""view-tag-blockchain"": ""5"", ""visit-tag-partnered"": ""1"", ""read-tag-cheatsheets"": ""1"", ""view-tag-cheatsheets"": ""1"", ""visit-tag-blockchain"": ""1"", ""visit-tag-cheatsheets"": ""1"", ""read-tag-brain-teasers"": ""3"", ""read-tag-for-beginners"": ""3"", ""read-tag-job-interview"": ""1"", ""view-tag-brain-teasers"": ""23"", ""view-tag-for-beginners"": ""7"", ""view-tag-job-interview"": ""1"", ""visit-tag-brain-teasers"": ""3"", ""visit-tag-for-beginners"": ""3"", ""visit-tag-job-interview"": ""1"", ""read-tag-middle-problems"": ""1"", ""view-tag-middle-problems"": ""5"", ""visit-tag-middle-problems"": ""2"", ""read-tag-learn-programming"": ""1"", ""view-tag-learn-programming"": ""1"", ""visit-tag-learn-programming"": ""1""}",RU,ru
Yes,2017-11-24 20:55:37.930098,Web Push (Chrome),Win32 62,05d66e0d-e7b2-432a-9094-596ec6aa48,"{""posts-read"": ""28540,50670,23478,50748,42457,51341,51292,24978,52793,53246,54868,55008,55002,54952,53423"", ""view-tag-ai"": ""1"", ""read-tag-253"": ""1"", ""read-tag-css"": ""1"", ""read-tag-ide"": ""1"", ""read-tag-php"": ""1"", ""read-tag-sql"": ""1"", ""read-tag-vpn"": ""1"", ""read-tag-web"": ""7"", ""view-tag-253"": ""1"", ""view-tag-css"": ""1"", ""view-tag-diy"": ""1"", ""view-tag-ide"": ""1"", ""view-tag-php"": ""2"", ""view-tag-sql"": ""2"", ""view-tag-vpn"": ""1"", ""view-tag-web"": ""13"", ""visit-tag-ai"": ""1"", ""posts-visited"": ""28540,50670,23478,50748,42457,42226,40205,37778,51341,51302,51292,52097,24978,52793,53246,54868,55008,55002,54952,53423"", ""read-tag-html"": ""1"", ""view-tag-html"": ""1"", ""visit-tag-253"": ""1"", ""visit-tag-css"": ""1"", ""visit-tag-diy"": ""1"", ""visit-tag-ide"": ""1"", ""visit-tag-php"": ""1"", ""visit-tag-sql"": ""1"", ""visit-tag-vpn"": ""1"", ""visit-tag-web"": ""9"", ""read-tag-linux"": ""1"", ""read-tag-opera"": ""1"", ""read-tag-tools"": ""1"", ""view-tag-linux"": ""1"", ""view-tag-opera"": ""1"", ""view-tag-tools"": ""1"", ""view-tag-unity"": ""1"", ""visit-tag-html"": ""1"", ""read-tag-github"": ""1"", ""read-tag-google"": ""2"", ""view-tag-github"": ""2"", ""view-tag-google"": ""3"", ""visit-tag-linux"": ""1"", ""visit-tag-opera"": ""1"", ""visit-tag-tools"": ""1"", ""visit-tag-unity"": ""1"", ""read-tag-advices"": ""1"", ""read-tag-android"": ""2"", ""read-tag-firefox"": ""1"", ""view-tag-advices"": ""3"", ""view-tag-android"": ""2"", ""view-tag-firefox"": ""1"", ""view-tag-gamedev"": ""1"", ""view-tag-node-js"": ""1"", ""visit-tag-github"": ""1"", ""visit-tag-google"": ""3"", ""read-tag-browsers"": ""1"", ""read-tag-telegram"": ""1"", ""view-tag-browsers"": ""1"", ""view-tag-telegram"": ""1"", ""visit-tag-advices"": ""1"", ""visit-tag-android"": ""2"", ""visit-tag-firefox"": ""1"", ""visit-tag-gamedev"": ""1"", ""visit-tag-node-js"": ""1"", ""read-tag-microsoft"": ""1"", ""read-tag-mobiledev"": ""1"", ""view-tag-microsoft"": ""1"", ""view-tag-mobiledev"": ""1"", ""visit-tag-browsers"": ""1"", ""visit-tag-telegram"": ""1"", ""read-tag-javascript"": ""1"", ""view-tag-javascript"": ""5"", ""visit-tag-microsoft"": ""1"", ""visit-tag-mobiledev"": ""1"", ""view-tag-cheatsheets"": ""1"", ""visit-tag-javascript"": ""4"", ""read-tag-for-advanced"": ""1"", ""read-tag-for-amateurs"": ""1"", ""view-tag-for-advanced"": ""2"", ""view-tag-for-amateurs"": ""3"", ""visit-tag-cheatsheets"": ""1"", ""read-tag-best-practice"": ""1"", ""read-tag-for-beginners"": ""3"", ""read-tag-google-chrome"": ""1"", ""view-tag-best-practice"": ""1"", ""view-tag-for-beginners"": ""6"", ""view-tag-google-chrome"": ""1"", ""visit-tag-for-advanced"": ""1"", ""visit-tag-for-amateurs"": ""2"", ""read-tag-dev-organising"": ""1"", ""view-tag-dev-organising"": ""2"", ""visit-tag-best-practice"": ""1"", ""visit-tag-for-beginners"": ""3"", ""visit-tag-google-chrome"": ""1"", ""read-tag-ms-connect-2017"": ""1"", ""view-tag-ms-connect-2017"": ""1"", ""view-tag-virtual-reality"": ""1"", ""visit-tag-dev-organising"": ""1"", ""read-tag-machine-learning"": ""1"", ""view-tag-machine-learning"": ""1"", ""visit-tag-ms-connect-2017"": ""1"", ""visit-tag-virtual-reality"": ""1"", ""read-tag-learn-programming"": ""1"", ""view-tag-learn-programming"": ""2"", ""visit-tag-machine-learning"": ""1"", ""visit-tag-learn-programming"": ""1"", ""read-tag-interface-design-ux"": ""1"", ""view-tag-interface-design-ux"": ""3"", ""visit-tag-interface-design-ux"": ""1""}",UA,ru
Yes,2018-03-24 18:56:47.917979,Web Push (Chrome),Win32 58,0e6c6a1f-a445-411a-91d3-52ba0ff003,"{""posts-read"": ""16276,16730,43149,51642,18020,16515"", ""read-tag-diy"": ""2"", ""view-tag-diy"": ""2"", ""posts-visited"": ""16730,43149,51642,18020,16515"", ""read-tag-java"": ""3"", ""view-tag-java"": ""3"", ""visit-tag-diy"": ""2"", ""read-tag-games"": ""1"", ""visit-tag-java"": ""3"", ""read-tag-skills"": ""1"", ""view-tag-skills"": ""1"", ""read-tag-gamedev"": ""2"", ""view-tag-gamedev"": ""2"", ""visit-tag-skills"": ""1"", ""visit-tag-gamedev"": ""2"", ""read-tag-internship"": ""1"", ""view-tag-internship"": ""1"", ""visit-tag-internship"": ""1"", ""read-tag-for-beginners"": ""1"", ""read-tag-for-motivation"": ""1"", ""view-tag-for-motivation"": ""1"", ""visit-tag-for-motivation"": ""1"", ""read-tag-learn-programming"": ""4"", ""read-tag-simple-java-games"": ""2"", ""view-tag-learn-programming"": ""3"", ""view-tag-simple-java-games"": ""2"", ""visit-tag-learn-programming"": ""3"", ""visit-tag-simple-java-games"": ""2""}",TJ,ru
No,2017-11-21 13:59:11.212665,Web Push (Chrome),Linux armv8l 62,087dea51-94a0-4bb7-bbbf-22b9e2c235,"{""posts-read"": ""28507"", ""posts-visited"": ""55345"", ""view-tag-linux"": ""2"", ""view-tag-python"": ""2"", ""visit-tag-linux"": ""1"", ""visit-tag-python"": ""1"", ""read-tag-partnered"": ""1"", ""view-tag-for-amateurs"": ""2"", ""read-tag-for-beginners"": ""1"", ""visit-tag-for-amateurs"": ""1""}",RU,ru
